SOURCE,TARGET,CONTEXT
did:indy:c22752f3419b9e7d,did:indy:239579ddadd00f86,45504
did:indy:8b10118866c3bd67,did:indy:801bff4662e9a9cd,45504
did:indy:3a99367f623d136b,did:indy:5c2803deafdfbc06,45504
did:indy:182c136a6d753541,did:indy:677fb496d29b0648,45504
did:indy:3e114e8aafb1ba3a,did:indy:f2c4d7de9d8556e8,45504
did:indy:5364a893aa30076f,did:indy:6536dec2e7de4e60,45504
did:indy:4b947bc9ccfc568d,did:indy:d29cbe66d6ec3edd,45504
did:indy:9fe71b6dcf44732d,did:indy:e71ea3c452f10fb9,45504
did:indy:c7b6378f76a3b144,did:indy:9f7d360e01593e9c,45504
did:indy:93ebba30b93bc78a,did:indy:0498be39b559ff7b,45504
